"filename", "language", "Dart", "YAML", "comment", "blank", "total"
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\functions\api_result.dart", "Dart", 9, 0, 0, 4, 13
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\functions\api_result.freezed.dart", "Dart", 290, 0, 18, 47, 355
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\functions\error_model.dart", "Dart", 10, 0, 0, 8, 18
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\functions\error_model.g.dart", "Dart", 10, 0, 4, 5, 19
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\functions\network_exceptions.dart", "Dart", 139, 0, 0, 24, 163
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\functions\network_exceptions.freezed.dart", "Dart", 3519, 0, 66, 277, 3862
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\my_app.dart", "Dart", -51, 0, 0, -7, -58
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\resources\color_manager.dart", "Dart", 2, 0, 0, 1, 3
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\use_case\use_case.dart", "Dart", -23, 0, 0, -6, -29
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\utility\constant.dart", "Dart", 1, 0, 0, 1, 2
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\utility\injector.dart", "Dart", 57, 0, -8, 10, 59
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\utility\private_keys.dart", "Dart", 1, 0, 0, 1, 2
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\helper\widgets\multi_bloc_provider.dart", "Dart", -9, 0, -10, -4, -23
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\main.dart", "Dart", 3, 0, 0, 1, 4
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\box_office.dart", "Dart", 17, 0, 0, 6, 23
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\box_office.g.dart", "Dart", 74, 0, 5, 10, 89
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\info_with_id_api.dart", "Dart", 21, 0, 0, 6, 27
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\info_with_id_api.g.dart", "Dart", 107, 0, 5, 11, 123
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\most_popular_films_api.dart", "Dart", 15, 0, 0, 6, 21
