"filename", "language", "Dart", "comment", "blank", "total"
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\main.dart", "Dart", 0, 5, 1, 6
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\box_office.dart", "Dart", -16, 0, -6, -22
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\box_office.g.dart", "Dart", -68, -5, -10, -83
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\info_with_id_api.dart", "Dart", -21, 0, -6, -27
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\info_with_id_api.g.dart", "Dart", -98, -5, -11, -114
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\most_popular_films_api.dart", "Dart", -14, 0, -6, -20
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\most_popular_films_api.g.dart", "Dart", -67, -5, -10, -82
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\new_films_api.dart", "Dart", -14, 0, -6, -20
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\new_films_api.g.dart", "Dart", -67, -5, -10, -82
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\box_office\box_office.dart", "Dart", 16, 0, 5, 21
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\box_office\box_office.g.dart", "Dart", 68, 5, 10, 83
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\different_calls_from\different_calls_from_api.dart", "Dart", 14, 0, 4, 18
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\different_calls_from\different_calls_from_api.g.dart", "Dart", 48, 5, 9, 62
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\models\remote\film_info\film_info_api.dart", "Dart", 65, 3, 18, 86
