"filename", "language", "C++", "JSON", "HTML", "CMake", "Dart", "Markdown", "YAML", "Gradle", "Java Properties", "XML", "Swift", "comment", "blank", "total"
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 23, 4, 30
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 5, 13, 72
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 1, 9
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 6, 1, 35
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 1, 9
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 5, 32
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
